#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.334399       0.334399              0
              2       0.347982       0.341191     0.00480228
              3       0.346667       0.343016     0.00353147
              4       0.309791        0.33471     0.00766557
              5       0.315569       0.330882      0.0070236
              6       0.325893        0.33005       0.005902
              7       0.304021       0.326332     0.00611916
              8       0.343487       0.328476     0.00571769
              9       0.319481       0.327477       0.005169
             10       0.353948       0.330124     0.00528662
             11       0.340479       0.331065     0.00488912
             12       0.339649       0.331781     0.00453372
             13       0.346405       0.332906     0.00432229
             14       0.315795       0.331683     0.00418277
             15        0.31775       0.330754     0.00400574
             16       0.348623       0.331871     0.00390796
             17       0.322843        0.33134     0.00371399
             18       0.309625       0.330134     0.00369842
             19       0.318796       0.329537     0.00355158
             20       0.315604        0.32884     0.00344165
