#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646489   -0.646489           0
           2   -0.645946   -0.646218 0.000192167
           3   -0.646671   -0.646369  0.00017779
           4   -0.647489   -0.646649  0.00027688
           5   -0.646407     -0.6466 0.000225687
           6   -0.646096   -0.646516 0.000203104
           7   -0.646393   -0.646499 0.000174854
           8    -0.64604   -0.646441 0.000162131
           9   -0.645635   -0.646352 0.000167038
          10   -0.646428    -0.64636 0.000150508
          11   -0.647991   -0.646508 0.000196746
          12   -0.645666   -0.646438 0.000192454
          13   -0.647798   -0.646542 0.000204113
          14   -0.645699   -0.646482 0.000198225
          15   -0.647638   -0.646559  0.00019942
          16   -0.645565   -0.646497 0.000196402
          17   -0.646358   -0.646489 0.000185019
          18   -0.648449   -0.646598 0.000204304
          19   -0.647673   -0.646654 0.000201237
          20   -0.645499   -0.646596 0.000199295
