#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.424449       0.424449              0
              2       0.430858       0.427654       0.002266
              3       0.422901       0.426069     0.00198889
              4       0.424559       0.425692     0.00152709
              5       0.436926       0.427939     0.00235181
              6       0.420949       0.426774     0.00222977
              7       0.423697       0.426334     0.00195407
              8       0.422626       0.425871     0.00176393
              9       0.413221       0.424465     0.00205289
             10       0.437203       0.425739     0.00220769
             11       0.417884       0.425025     0.00211933
             12       0.418536       0.424484     0.00201053
             13       0.424237       0.424465     0.00185596
             14       0.403835       0.422992     0.00223301
             15       0.438602       0.424032     0.00231399
             16       0.413471       0.423372     0.00226155
             17       0.406404       0.422374     0.00233842
             18       0.420078       0.422247     0.00221199
             19       0.421369         0.4222     0.00209605
             20       0.427155       0.422448     0.00200583
