#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.344383       0.344383              0
              2       0.344282       0.344333    3.56248e-05
              3       0.345426       0.344697    0.000298602
              4       0.341965       0.344014    0.000632598
              5       0.345172       0.344246    0.000546819
              6        0.34688       0.344685    0.000606824
              7       0.343907       0.344574    0.000530193
              8       0.343347        0.34442    0.000485592
              9       0.343765       0.344347    0.000437062
             10       0.337902       0.343703    0.000727084
             11       0.342582       0.343601    0.000668093
             12       0.346918       0.343877    0.000667157
             13       0.345924       0.344035    0.000634141
             14       0.352721       0.344655    0.000839165
             15       0.348681       0.344924    0.000825031
             16       0.341249       0.344694      0.0008048
             17       0.348053       0.344892    0.000781339
             18       0.350344       0.345194    0.000794492
             19       0.342094       0.345031    0.000769253
             20       0.344211        0.34499    0.000731884
