#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        15.1301        15.1301              0
              2        15.7482        15.4391       0.218552
              3        15.9162        15.5982       0.195156
              4        15.5299        15.5811       0.147112
              5         15.138        15.4925        0.14189
              6        14.6814        15.3573        0.17091
              7        15.2772        15.3458       0.146877
              8        15.1927        15.3267       0.129759
              9        16.2088        15.4247       0.147792
             10        13.5342        15.2357        0.22329
             11        14.5571         15.174       0.211341
             12        14.8396        15.1461       0.195557
             13        15.3577        15.1624       0.181191
             14        15.0728         15.156       0.168362
             15        14.9054        15.1393       0.157964
             16        15.5759        15.1666        0.15043
             17        15.0025        15.1569        0.14189
             18        14.6787        15.1303       0.136472
             19        15.1397        15.1308        0.12929
             20        14.8361        15.1161       0.123662
