#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.17472    -1.17472           0
           2   -0.810805   -0.992763    0.128664
           3   -0.609957   -0.865161    0.134953
           4    -0.52206   -0.779386    0.125549
           5   -0.512947   -0.726098    0.111174
           6    -0.46279   -0.682213    0.100936
           7   -0.375397   -0.638383   0.0955602
           8   -0.398491   -0.608396   0.0881946
           9   -0.419156   -0.587369   0.0808629
          10   -0.365564   -0.565189   0.0757576
          11   -0.381286    -0.54847   0.0706912
          12   -0.425328   -0.538209   0.0655409
          13   -0.395076   -0.527198   0.0614171
          14   -0.447877   -0.521533   0.0572909
          15   -0.432765   -0.515615   0.0537763
          16   -0.390479   -0.507794   0.0509808
          17   -0.369929   -0.499684   0.0486227
          18   -0.372183   -0.492601   0.0464345
          19   -0.391428   -0.487276   0.0442949
          20   -0.394341   -0.482629   0.0423232
          21   -0.394698   -0.478442   0.0405144
          22   -0.362396   -0.473167   0.0390147
          23   -0.397713   -0.469886   0.0374561
          24   -0.329686   -0.464045   0.0363481
          25   -0.361796   -0.459955   0.0351235
          26   -0.350977   -0.455763   0.0340218
          27   -0.368571   -0.452534   0.0329146
          28   -0.401085   -0.450697   0.0317903
          29   -0.397582   -0.448865   0.0307468
          30   -0.331304   -0.444946   0.0299706
          31   -0.365979   -0.442399   0.0291119
          32    -0.36097   -0.439854   0.0283131
          33   -0.372959   -0.437827   0.0275276
          34   -0.315866    -0.43424   0.0269507
          35   -0.348405   -0.431788    0.026292
          36    -0.36941   -0.430055   0.0256187
          37   -0.381529   -0.428743   0.0249599
          38   -0.370052   -0.427199   0.0243508
          39   -0.380814    -0.42601   0.0237554
          40   -0.389788   -0.425104   0.0231788
          41   -0.373899   -0.423855   0.0226471
          42    -0.43684   -0.424164     0.02211
          43   -0.417278   -0.424004   0.0215964
          44   -0.386163   -0.423144   0.0211226
          45   -0.356357    -0.42166   0.0207053
          46   -0.344912   -0.419992   0.0203223
          47   -0.384516   -0.419237   0.0199039
          48   -0.371232   -0.418237   0.0195144
          49   -0.412031    -0.41811   0.0191165
          50   -0.389713   -0.417542   0.0187427
