#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59015     1.59015           0
           2     1.59293     1.59154 0.000981351
           3     1.59315     1.59208 0.000786678
           4     1.59308     1.59233 0.000628702
           5     1.59319      1.5925 0.000526285
           6     1.59322     1.59262 0.000452209
           7     1.59321      1.5927 0.000395461
           8     1.59312     1.59276 0.000349432
           9     1.59329     1.59282  0.00031561
          10      1.5934     1.59287 0.000289344
          11     1.59315      1.5929 0.000264142
          12     1.59295      1.5929 0.000242161
          13     1.59305     1.59291  0.00022379
          14     1.59292     1.59292 0.000207806
          15     1.59318     1.59293 0.000194699
          16     1.59343     1.59296 0.000185009
          17     1.59341     1.59299 0.000176002
          18     1.59333     1.59301 0.000167203
          19     1.59326     1.59302 0.000158939
          20     1.59323     1.59303  0.00015133
          21     1.59329     1.59305 0.000144599
          22     1.59322     1.59305 0.000138248
          23     1.59322     1.59306 0.000132433
          24     1.59324     1.59307 0.000127116
          25     1.59333     1.59308 0.000122457
          26     1.59332     1.59309 0.000118103
          27     1.59319     1.59309 0.000113792
          28     1.59306     1.59309 0.000109734
          29     1.59319     1.59309 0.000106006
          30     1.59324      1.5931 0.000102582
          31     1.59313      1.5931 9.92774e-05
          32     1.59329     1.59311 9.63571e-05
          33     1.59339     1.59311  9.3817e-05
          34     1.59339     1.59312 9.14022e-05
          35     1.59329     1.59313 8.89153e-05
          36     1.59326     1.59313 8.65214e-05
          37     1.59344     1.59314  8.4589e-05
          38      1.5933     1.59314 8.24711e-05
          39     1.59325     1.59315 8.04007e-05
          40     1.59318     1.59315 7.83965e-05
          41     1.59328     1.59315 7.65521e-05
          42     1.59303     1.59315 7.47872e-05
          43     1.59337     1.59315 7.32272e-05
          44     1.59343     1.59316  7.1839e-05
          45     1.59329     1.59316 7.02987e-05
          46     1.59313     1.59316 6.87749e-05
          47     1.59332     1.59316 6.73922e-05
          48      1.5931     1.59316 6.60033e-05
          49     1.59312     1.59316 6.46628e-05
          50     1.59342     1.59317 6.35676e-05
