# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00303519 0.000404208
    0.266667    0.020245  0.00116586
    0.533333   0.0515069  0.00190132
         0.8   0.0785969  0.00197847
     1.06667     0.10964  0.00269262
     1.33333    0.134468  0.00297792
         1.6    0.135411  0.00285809
     1.86667    0.129537  0.00210129
     2.13333    0.113369  0.00254876
         2.4   0.0770411  0.00238928
     2.66667   0.0558507  0.00215906
     2.93333   0.0379835  0.00140021
         3.2   0.0267915  0.00136475
     3.46667   0.0146661  0.00104008
     3.73333  0.00595685  0.00052745
           4  0.00291315 0.000406793
     4.26667  0.00185537  0.00047483
     4.53333 0.000822222 0.000229568
         4.8 0.000253704  0.00012558
     5.06667 2.25926e-05 2.16297e-05
     5.33333 1.85185e-05 1.83324e-05
         5.6 1.55556e-05 1.53992e-05
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
