#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.84325     1.84325           0
           2     1.60249     1.72287   0.0851218
           3     1.46874     1.63816    0.089467
           4     1.41009     1.58114   0.0833102
           5     1.40409     1.54573   0.0737906
           6     1.37068     1.51656   0.0670123
           7     1.31241     1.48739   0.0634688
           8     1.32774     1.46744   0.0585887
           9     1.34163     1.45346   0.0537204
          10     1.30597     1.43871   0.0503322
          11     1.31629     1.42758   0.0469707
          12     1.34552     1.42074   0.0435515
          13     1.32542     1.41341    0.040814
          14     1.36053     1.40963   0.0380731
          15     1.35063      1.4057   0.0357375
          16     1.32261     1.40051   0.0338791
          17      1.3089     1.39512   0.0323119
          18     1.31034     1.39041   0.0308582
          19     1.32313     1.38687   0.0294365
          20     1.32505     1.38377   0.0281265
          21     1.32532     1.38099   0.0269245
          22     1.30374     1.37748   0.0259286
          23     1.32729      1.3753    0.024893
          24     1.28195     1.37141   0.0241577
          25     1.30342     1.36869    0.023344
          26      1.2962      1.3659    0.022612
          27     1.30784     1.36375   0.0218766
          28     1.32943     1.36252   0.0211296
          29     1.32718     1.36131   0.0204361
          30     1.28303      1.3587   0.0199207
          31     1.30607       1.357   0.0193503
          32     1.30284     1.35531   0.0188195
          33      1.3109     1.35396   0.0182973
          34     1.27284     1.35157    0.017914
          35     1.29446     1.34994   0.0174763
          36     1.30845     1.34879   0.0170289
          37     1.31665     1.34792   0.0165908
          38      1.3089     1.34689   0.0161859
          39     1.31604      1.3461   0.0157902
          40     1.32198      1.3455    0.015407
          41     1.31145     1.34467   0.0150535
          42     1.35324     1.34487   0.0146965
          43     1.34043     1.34477   0.0143551
          44     1.31973      1.3442   0.0140401
          45     1.29976     1.34321   0.0137628
          46     1.29202      1.3421   0.0135085
          47     1.31856      1.3416   0.0132304
          48     1.30955     1.34093   0.0129716
          49     1.33677     1.34085   0.0127072
          50     1.32209     1.34047   0.0124586
