#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.76487     2.76487           0
           2     2.40373      2.5843    0.127683
           3      2.2031     2.45724      0.1342
           4     2.11514     2.37171    0.124965
           5     2.10614      2.3186    0.110686
           6     2.05601     2.27483    0.100518
           7     1.96861     2.23109   0.0952033
           8     1.99161     2.20115    0.087883
           9     2.01245     2.18019   0.0805806
          10     1.95896     2.15806   0.0754983
          11     1.97444     2.14137   0.0704561
          12     2.01828     2.13111   0.0653272
          13     1.98812     2.12011    0.061221
          14      2.0408     2.11445   0.0571096
          15     2.02594     2.10855   0.0536062
          16     1.98391     2.10076   0.0508187
          17     1.96334     2.09267   0.0484679
          18     1.96551     2.08561   0.0462873
          19     1.98469      2.0803   0.0441548
          20     1.98757     2.07566   0.0421898
          21     1.98798     2.07149   0.0403868
          22     1.95562     2.06622    0.038893
          23     1.99094     2.06295   0.0373394
          24     1.92292     2.05711   0.0362366
          25     1.95512     2.05303    0.035016
          26      1.9443     2.04885   0.0339181
          27     1.96176     2.04563   0.0328148
          28     1.99414     2.04379   0.0316943
          29     1.99077     2.04196   0.0306541
          30     1.92454     2.03804   0.0298811
          31     1.95911      2.0355   0.0290255
          32     1.95426     2.03296   0.0282293
          33     1.96635     2.03094   0.0274459
          34     1.90925     2.02736    0.026871
          35     1.94169     2.02491   0.0262145
          36     1.96267     2.02319   0.0255433
          37     1.97497     2.02188   0.0248861
          38     1.96335     2.02034   0.0242789
          39     1.97406     2.01916   0.0236853
          40     1.98297     2.01825   0.0231104
          41     1.96718     2.01701   0.0225803
          42     2.02987     2.01731   0.0220448
          43     2.01065     2.01716   0.0215326
          44      1.9796      2.0163   0.0210602
          45     1.94964     2.01482   0.0206442
          46     1.93804     2.01315   0.0202628
          47     1.97783      2.0124   0.0198456
          48     1.96433      2.0114   0.0194574
          49     2.00515     2.01127   0.0190607
          50     1.98313     2.01071   0.0186878
