#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           178       6.50035       7.65551       1.31008
           179       6.50035       7.54406       1.23377
           180       6.50035       7.54347       1.15813
           181       6.50035       7.15662      0.963115
           182       6.50035       6.77084      0.434123
           183       6.50035       6.87948      0.571995
           184       6.50035       7.42237       1.08158
           185       6.50035       7.75403       1.26437
           186       6.50035       7.34914       1.00493
           187       6.50035       7.74507       1.33189
           188       6.50035       7.84966       1.56088
           189       6.50035       8.26951       1.56569
           190       6.50035       7.59892       1.20082
           191       6.50035       8.28433       1.55832
           192       6.50035       8.53619       1.70793
           193       6.50035       8.21271       1.53515
           194       6.50035       8.35316       1.62345
           195       6.50035       8.09885       1.56447
           196       6.50035       7.70863       1.50392
           197       6.50035       7.82697        1.6709
           198       6.50035        6.9966      0.873706
           199       6.50035        7.5344       1.25688
           200       6.50035       7.31349       1.29878
           201       6.50035       7.62769       1.38782
           202       6.50035       7.72803       1.43962
           203       6.50035       8.04509       1.67681
           204       6.50035       7.98449        1.5222
           205       6.50035       7.96081       1.52032
           206       6.50035       8.12672       1.74903
           207       6.50035       7.07922      0.926879
           208       6.50035       6.90775      0.764992
           209       6.50035       6.79447      0.634984
           210       6.50035       7.72715       1.34672
           211       6.50035         8.038       1.52258
           212       6.50035       8.48078        1.7317
           213       6.50035       8.43448       1.53508
           214       6.50035       8.39181       1.52595
           215       6.50035       8.33536       1.48333
           216       6.50035       8.68403       1.85432
           217       6.50035       8.50391       1.98901
           218       6.50035       7.64234       1.42285
           219       6.50035       7.18874       1.01464
           220       6.50035       6.91277      0.714046
           221       6.50035         6.724      0.600578
           222       6.50035       7.03747      0.910234
           223       6.50035        6.7394      0.729172
           224       6.50035       6.99184      0.909794
           225       6.50035       7.77274       1.51739
           226       6.50035       7.22686       1.11394
           227       6.50035       7.66705       1.35575
           228       6.50035       7.43302        1.2172
           229       6.50035       7.15043      0.921112
           230       6.50035       7.12606        1.0767
           231       6.50035       7.59506       1.36659
           232       6.50035       8.44479       2.09666
           233       6.50035       8.16969       2.00087
           234       6.50035       7.56892       1.39149
           235       6.50035       7.86263        1.5143
           236       6.50035       7.42836       1.29278
           237       6.50035       8.36562       1.70131
           238       6.50035       9.01587       1.77964
           239       6.33322       8.88191       2.06395
           240       6.33322       8.37107       1.99317
           241       6.33322        7.4965       1.49621
           242       6.33322       7.47739       1.60743
           243       6.33322       7.56881       1.66688
           244       6.33322       7.73212       1.65116
           245       6.33322       7.52337       1.52034
           246       6.33322       7.43439       1.42152
           247       6.33322       7.61325       1.56336
           248       6.33322       7.66674       1.52033
           249       6.33322       7.18929       1.29728
           250       6.33322       6.94205       1.03043
           251       6.28554       6.70033      0.794804
           252       6.28554        6.6798      0.800263
           253       6.28554       7.63016        1.5176
           254       6.28554       8.20883       1.69174
           255       6.28554       8.06689        2.0754
           256       6.28554       7.71604       1.61861
           257       6.28554       7.61192       1.77173
           258       6.28554        7.5745       1.56247
           259       6.28554       7.70491       1.67841
           260       6.28554       8.88455       2.16967
           261       6.28554       8.69534       2.23596
           262       6.28554       8.59243       2.30658
           263       6.28554       8.58502       2.09696
           264       6.28554       7.94809        1.7904
           265       6.28554       7.91159       1.65476
           266       6.28554       7.27991       1.32082
           267       6.28554       7.63005       1.58203
           268       6.28554       7.47797       1.53836
           269       6.28554       8.17063       1.99578
           270       6.28554       7.69707       1.61865
           271       6.28554       7.56629       1.46361
           272       6.28554       7.37044       1.35181
           273       6.28554       7.81002       1.48802
           274       6.28554       8.52999       2.01155
           275       6.28554       8.06872        1.7981
           276       6.28554       8.09024       1.72257
           277       6.28554       7.94936       1.56406
           278       6.28554       8.00671       1.83344
           279       6.28554       8.18898       1.74725
           280       6.28554       7.90382       1.91259
           281       6.28554       7.65564       1.69823
           282       6.28554       7.24011       1.38259
           283       6.28554       6.85904       1.06281
           284       6.28554       7.21588       1.47611
           285       6.28554       7.83291       1.80012
           286       6.28554       7.31988       1.36546
           287       6.28554       7.70547       1.74139
           288       6.28554       7.33309       1.37797
           289       6.28554       7.47407       1.41589
           290       6.25349       6.78303      0.951703
           291       6.25349       7.56126       1.43955
           292       6.25349       7.25464       1.36442
           293       6.25349       7.62429       1.64962
           294       6.25349       7.59998       1.55412
           295       6.25349       7.46916       1.34842
           296       6.25349       7.53703       1.50635
           297       6.25349       7.98272       1.55061
           298       6.25349       8.96501        1.8682
           299       6.25349       8.38946       2.19251
           300       6.25349       7.52231       1.63864
           301       6.25349        7.2758        1.4719
           302       6.25349       7.29016       1.45109
           303       6.25349       7.87326       1.77527
           304       6.25349       7.99147       1.72511
           305       6.25349       7.86737       1.53834
           306       6.25349       8.61079       1.67401
           307       6.25349        8.6144       1.91861
           308       6.25349       8.37017       1.72481
           309       6.25349       8.24283       1.75847
           310       6.25349       8.01152       1.99587
           311       6.25349       7.52927       1.45066
           312       6.25349       8.41059       1.87663
           313       6.25349       7.49487       1.39011
           314       6.25349       7.17541       1.26017
           315       6.25349        8.1033        1.8691
           316       6.25349       7.83338       1.64969
           317       6.25349       8.76041       2.06868
           318       6.25349        8.8668       2.28816
           319       6.25349        8.2926       1.83848
           320       6.25349       7.80533       1.53964
           321       6.25349       7.54729       1.32461
           322       6.25349       7.38168       1.22852
           323       6.25349       7.42222         1.415
           324       6.25349         7.206       1.29704
           325       6.25349       8.33047       2.16793
           326       6.25349        8.4458       2.13889
           327       6.25349       8.31144       1.85356
           328       6.25349       8.12398       1.95203
           329       6.25349       7.92839       1.70675
           330       6.25349       8.21867       1.64199
           331       6.25349       8.40041       1.83497
           332       6.25349       7.93833       1.69691
           333       6.25349       8.51029       2.22695
           334       6.25349       7.89438       1.61212
           335       6.25349       8.40962       1.96542
           336       6.25349       9.41015       2.40573
           337       6.25349        9.5072       2.37856
           338       6.25349        8.5286       1.73952
           339       6.25349       8.31115       1.71453
           340       6.25349       8.65981        1.8206
           341       6.25349       9.03999       2.29623
           342       6.25349       8.26188       2.17428
           343       6.25349       8.58041        1.7399
           344       6.25349       8.81151       1.81172
           345       6.25349       8.00554       1.54101
           346       6.25349       8.73351       1.90329
           347       6.25349       8.38259       1.59996
           348       6.25349       8.63653       1.78318
