#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
           178       11.6107       12.6731      0.775007
           179       11.6107       12.6262      0.910308
           180       11.6107       12.3453       0.80462
           181       11.6107       12.0945      0.609794
           182       11.6107       11.7505      0.271945
           183       11.6107       11.8844      0.486143
           184       11.6107       12.3244       1.03353
           185       11.5226       11.9966      0.608465
           186       11.5226       11.9386      0.590408
           187       11.4624       12.0907      0.720626
           188       11.4624       12.5341       1.03553
           189       11.4624       12.7323       1.19582
           190       11.4624       12.2061      0.853745
           191       11.4624       12.3859      0.950796
           192       11.4624       12.8781       1.36871
           193       11.4624       12.6041       1.22374
           194       11.4624       12.6685       1.30721
           195       11.4624       12.8806       1.34958
           196       11.4624       12.4481       1.14407
           197       11.4624       12.7112       1.21539
           198        11.354       12.2528      0.894351
           199        11.354       12.5975       0.97429
           200        11.354       12.3224      0.938132
           201       11.1881       12.3367      0.930121
           202       11.1881       12.4049       1.03478
           203       11.1881       12.8354       1.09507
           204       11.1881       12.9094       1.11672
           205       11.1881       12.9378       1.23806
           206       11.1881       13.0608       1.39612
           207       11.1881       12.2498      0.995477
           208       11.1881       11.8825      0.832549
           209       11.1881         11.71      0.661595
           210       11.1881       11.9417      0.879719
           211       11.1881         11.58      0.640581
           212       11.1881          11.8      0.839501
           213       10.9778       11.7488      0.783817
           214       10.9778       11.6237      0.799359
           215       10.9778       11.6145      0.806423
           216       10.9778       12.0934       1.16627
           217       10.9778       11.8502       1.11335
           218       10.9778       11.3297      0.556656
           219       10.9778       11.0987      0.211703
           220       10.9778       11.0824      0.228296
           221       10.9778       11.0826      0.303006
           222       10.9778       11.2447      0.545723
           223       10.9778       11.1137      0.373448
           224       10.9778       11.4704      0.715776
           225       10.9778       11.9064       1.05196
           226       10.8758       11.7272      0.914411
           227       10.8758       12.1626       1.01918
           228       10.8758       11.7653      0.939911
           229       10.8758       11.6124      0.887519
           230       10.8758       11.4679      0.882922
           231       10.8758       11.6882      0.979431
           232       10.8758       12.1123       1.18699
           233       10.8758       11.7433       1.00977
           234       10.8758       11.3032      0.703582
           235       10.8758       11.6141       0.94507
           236       10.8758       11.3873      0.799823
           237       10.8758       12.1664       1.32596
           238       10.8758       12.5034       1.24087
           239       10.8758       12.3938       1.34519
           240       10.8758       12.3152       1.34805
           241       10.8758       11.7669       1.11934
           242       10.8758       11.9232       1.37988
           243       10.8758       11.8402       1.20014
           244       10.8758       12.1472       1.38647
           245       10.8758        11.921        1.1638
           246       10.8758        11.843        1.0366
           247       10.8758       11.9758       1.21539
           248       10.8758       11.8029       1.09358
           249       10.8758        11.431       0.81525
           250       10.8758       11.2419      0.650933
           251       10.8758       11.2032      0.671718
           252       10.8758       11.1011      0.483701
           253       10.8758       11.8157        1.0242
           254       10.8758       12.1878       1.23807
           255       10.8758        11.897       1.20304
           256       10.8758       11.7095      0.924088
           257       10.8758       11.7898       1.03378
           258       10.8758       11.6364       1.05588
           259       10.8758       11.5966      0.962569
           260       10.8758        12.306       1.36679
           261       10.8758       12.1195       1.24622
           262       10.8758       11.8747       1.11993
           263       10.6617       11.8295       1.07702
           264       10.6617       11.5403      0.923216
           265       10.4515       11.7184       1.06238
           266       10.4515       11.1473      0.833775
           267       10.4515       11.6422         1.284
           268       10.4515       11.6005       1.27491
           269       10.4515       11.7391       1.32253
           270       10.4515       11.6501       1.20868
           271       10.4515       11.3817      0.993125
           272       10.4515        11.373       1.04545
           273       10.4515       11.6801       1.12201
           274       10.4515       12.0469       1.32466
           275       10.4515       11.6025       1.30667
           276       10.4515       11.7031       1.22384
           277       10.4515       11.6968       1.11889
           278       10.4515       11.8407       1.39126
           279       10.4515       11.5598       1.11479
           280       10.4515       11.4177       1.06863
           281       10.4515        11.288       1.00371
           282       10.3936       11.1773      0.989895
           283       10.3936        10.978      0.813186
           284       10.3936       11.1157      0.927534
           285       10.3936        11.342       1.06755
           286       10.3936       11.1159      0.927595
           287       10.3936       11.2883       1.13819
           288       10.3936       10.9168       0.75608
           289       10.3936       10.9789      0.729632
           290       10.3936       10.6816      0.525441
           291       10.3936       11.0296      0.806811
           292       10.3936       11.0611      0.911666
           293       10.3936       11.6417        1.3448
           294       10.3936       11.5269       1.28683
           295       10.3936       11.3194        1.0049
           296       10.3936       11.3052       1.04784
           297       10.3936       11.3659      0.977204
           298       10.3936       11.9186       1.20945
           299       10.3936       11.7085       1.41339
           300       10.3936       11.2706       1.04878
           301       10.3936       10.9432      0.815582
           302       10.3936       10.9408      0.824176
           303       10.3936       11.4558        1.0754
           304       10.3936       11.5067       1.20578
           305       10.3936       11.6049       1.31225
           306       10.3936       11.7219       1.14267
           307       10.3936       11.5865       1.24616
           308       10.3936       11.5635       1.29712
           309       10.3936       11.5282       1.17391
           310       10.3936       11.6233        1.4306
           311       10.3936       11.2173       1.03208
           312       10.3936       11.8617       1.36387
           313       10.3936       11.3769       1.15621
           314       10.3936       11.2402       1.00491
           315       10.3936       11.8399       1.27698
           316       10.3936       11.4228       1.13736
           317       10.3936       11.8732       1.35557
           318       10.3936       11.7115       1.37052
           319       10.3936        11.325       1.01834
           320       10.3936       11.0996      0.859997
           321       10.3936       11.0065      0.750925
           322       10.3936       11.1947      0.824365
           323       10.3936       11.1766      0.917345
           324       10.3936         10.82      0.718867
           325       10.3936       11.3745        1.0866
           326       10.3936       11.6252       1.22029
           327       10.3936        11.861       1.17152
           328       10.3936       11.7101       1.26119
           329       10.3936       11.5746       1.15941
           330       10.3936       11.7493       1.14133
           331       10.3936       11.8168       1.29743
           332       10.3936       11.5343       1.10919
           333       10.3936       11.6714       1.14288
           334       10.3936       11.2045      0.970498
           335       10.3936       11.4062         1.036
           336       10.3936        11.855       1.28339
           337       10.3936       11.9931       1.33029
           338       10.3936       11.5369       1.10379
           339       10.3936       11.4719       1.25519
           340       10.3936       11.5477       1.17564
           341       10.3936       11.7832       1.39013
           342       10.3936       11.6585       1.35391
           343       10.3936       11.9237       1.25136
           344       10.3936       11.9112       1.18216
           345       10.3936       11.2251      0.848862
           346       10.3936       11.4249       1.11897
           347       10.3936       11.4326       1.10771
           348       10.3936       11.4972        1.1583
           349       10.3936       11.0284      0.913597
           350       10.3936       11.1552       1.09833
           351       10.3936       10.9711       0.85284
           352       10.3936       11.7346       1.31011
           353       10.3936       11.3237       1.10132
           354       10.3936       11.7688       1.04155
           355       10.3936       11.6813       1.14773
           356       10.3936       11.1844      0.991224
           357       10.3936       11.1984      0.990491
           358       10.3936        11.058       0.92563
           359       10.3936        11.296       1.10268
           360       10.3936       11.0103      0.744419
           361       10.3936       10.7077      0.507405
           362       10.3936       11.0856      0.999735
           363       10.3936       11.2791       1.15498
           364       10.3936       10.9747      0.844892
           365       10.3936       10.9799       1.00184
           366       10.3936       11.2639       1.12417
           367       10.3936       10.9277      0.702697
           368       10.3936       11.3128      0.842913
           369       10.3936        11.049      0.752233
           370       10.3936        11.105       0.88008
           371       10.3936       11.5241        1.1612
           372       10.3936       11.0539      0.974942
           373       10.3936       10.8898       0.70669
           374       10.3936       10.8807      0.787818
           375       10.3936       10.9554      0.821174
           376       10.3936       11.2932       1.07415
           377       10.3936       12.0175       1.32992
           378       10.3936       11.7876        1.3748
           379       10.3936       11.7737       1.37857
           380       10.3936       11.8457        1.4534
           381       10.3936         11.47       1.00867
           382       10.3936        11.646       1.13211
           383       10.3936       12.0211       1.39686
           384       10.3936       11.7041       1.26504
           385       10.3936       11.6623       1.32946
           386       10.3891       11.8141       1.32833
           387       10.3891       11.3464      0.974098
           388       10.3891       11.5138       1.06261
           389       10.3891       11.1673      0.756618
           390       10.3891       11.2205      0.969305
           391       10.3891       11.1384      0.907507
           392       10.3891       11.4496       1.12431
           393       10.3891       11.8388       1.37146
           394       10.3891       11.6231       1.17653
           395       10.3891       11.5909       1.23544
           396       10.3891       11.3157       1.05156
           397       10.3891       11.2424      0.897082
           398       10.3891       11.0706      0.785085
           399       10.3891       11.2636      0.938426
           400       10.3891       11.1924      0.983743
           401       10.3891       11.0269      0.734538
           402       10.3891       10.8064      0.695008
           403       10.3891       10.7637      0.627612
           404       10.3891       10.7617      0.635451
           405       10.3891       11.1049      0.764789
           406       10.3891       11.3642      0.969728
           407       10.3891       11.2669      0.921009
           408       10.3891       11.3636       1.16643
           409       10.3891       11.4117       1.15346
           410       10.3891       11.8942       1.35428
           411       10.3891       11.2587       1.07084
           412       10.3891       10.8352      0.662592
           413       10.3891       10.7506      0.595356
           414       10.3891       10.8761       0.85967
           415       10.3891       10.9331      0.837153
           416       10.3891       11.1517      0.895206
           417       10.3891       10.9358      0.712243
           418       10.3891       10.9314      0.778658
           419       10.3891        10.724      0.560806
           420       10.3891       11.0157      0.813996
           421       10.3891       10.7224      0.561334
           422       10.3891       11.0708      0.843963
           423       10.3891       11.3981       1.09174
           424       10.3891       11.6069       1.13872
           425       10.3891       11.8562       1.12021
           426       10.3891       12.1348       1.55473
           427       10.3891       12.0365       1.35268
           428       10.3891       11.7587       1.21991
           429       10.3891       11.4806        1.1916
           430       10.3891       11.2545       1.07371
           431       10.3891        11.217       1.13154
           432       10.3891       11.1928       1.05928
           433       10.3891       10.8539      0.704129
           434       10.3891       11.2987       1.03895
           435       10.3891       11.6393        1.3444
           436       10.3891       12.0275        1.3625
           437       10.3891       11.7294       1.30916
           438       10.3891       11.2013       1.02322
