#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.09264     2.09264           0
           2     2.07578     2.08421  0.00596134
           3     2.07916     2.08253  0.00420525
           4     2.07943     2.08175  0.00322457
           5     2.07404     2.08021  0.00292489
           6     2.09014     2.08186  0.00286746
           7     2.13044      2.0888  0.00687907
           8     2.16687     2.09856   0.0109339
           9     2.13967     2.10313   0.0106303
          10     2.13322     2.10614  0.00998416
          11     2.14918     2.11005  0.00981339
          12     2.12474     2.11128  0.00907163
          13     2.12018     2.11196  0.00839964
          14     2.11413     2.11212   0.0078011
          15     2.08985     2.11063  0.00742097
          16     2.07711     2.10854   0.0072468
          17     2.08552     2.10718  0.00694584
          18     2.09855      2.1067  0.00657649
          19     2.11677     2.10723  0.00625164
          20     2.17535     2.11064  0.00680378
          21     2.19631     2.11472  0.00760515
          22     2.19118     2.11819  0.00801445
          23     2.18565     2.12113  0.00818513
          24     2.16679     2.12303  0.00806215
          25     2.16937     2.12488  0.00794993
          26     2.16734     2.12652  0.00781008
          27     2.19842     2.12918  0.00796192
          28     2.23127     2.13283  0.00847145
          29     2.27351     2.13768  0.00946705
          30     2.25116     2.14146  0.00987842
          31     2.21477     2.14382  0.00983879
          32     2.21991      2.1462  0.00981445
          33     2.25397     2.14947   0.0100456
          34     2.31966     2.15447   0.0109264
          35     2.33455     2.15962   0.0117633
          36     2.43481     2.16726   0.0136969
          37     2.52404     2.17691   0.0163728
          38     2.58033     2.18752   0.0190759
          39     2.58954     2.19783   0.0211897
          40     2.56574     2.20703   0.0225681
          41     2.49748     2.21411   0.0231028
          42     2.41871     2.21898   0.0230606
          43     2.44691     2.22428   0.0231254
          44      2.5213     2.23103   0.0235645
          45      2.6603     2.24057   0.0248968
          46      2.8006     2.25275   0.0271697
          47     2.95615     2.26771   0.0304356
          48     3.10565     2.28517    0.034446
          49     3.23418     2.30454   0.0388077
          50     3.00756      2.3186   0.0404986
