#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59248     1.59248           0
           2     1.59378     1.59313 0.000458652
           3     1.59271     1.59299 0.000326487
           4     1.59315     1.59303 0.000247381
           5     1.59329     1.59308 0.000203336
           6     1.59268     1.59301 0.000179834
           7     1.59232     1.59291 0.000179031
           8     1.59347     1.59298 0.000169642
           9     1.59316       1.593 0.000151866
          10     1.59299       1.593 0.000136683
          11     1.59345     1.59304  0.00013029
          12     1.59292     1.59303 0.000119829
          13     1.59358     1.59308 0.000117868
          14     1.59285     1.59306 0.000110556
          15     1.59304     1.59306 0.000103193
          16     1.59316     1.59306 9.69238e-05
          17     1.59301     1.59306 9.12807e-05
          18     1.59348     1.59308 8.91228e-05
          19      1.5924     1.59305 9.14764e-05
          20     1.59283     1.59304 8.75206e-05
          21     1.59251     1.59301 8.68769e-05
          22     1.59329     1.59302  8.3825e-05
          23     1.59297     1.59302 8.02164e-05
          24     1.59309     1.59302 7.69169e-05
          25     1.59334     1.59304 7.48914e-05
          26     1.59292     1.59303  7.2142e-05
          27     1.59307     1.59303 6.94812e-05
          28     1.59238     1.59301 7.08618e-05
          29     1.59272       1.593 6.91016e-05
          30     1.59384     1.59303 7.22836e-05
          31     1.59314     1.59303 7.00371e-05
          32     1.59246     1.59302 7.00676e-05
          33     1.59245       1.593 6.99964e-05
          34     1.59218     1.59297 7.19579e-05
          35     1.59214     1.59295 7.37607e-05
          36     1.59165     1.59291 8.00618e-05
          37      1.5913     1.59287 8.89859e-05
          38     1.59255     1.59286 8.70341e-05
          39     1.59188     1.59284 8.83497e-05
          40     1.59304     1.59284 8.62852e-05
          41     1.59298     1.59285 8.42473e-05
          42     1.59239     1.59283 8.29286e-05
          43     1.59041     1.59278 9.83547e-05
          44     1.58977     1.59271  0.00011745
          45      1.5887     1.59262 0.000144805
          46     1.58734     1.59251  0.00018152
          47     1.58752      1.5924 0.000206306
          48     1.58667     1.59228 0.000234029
          49     1.58897     1.59221 0.000238825
          50      1.5876     1.59212 0.000251233
