#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.500163   -0.500163           0
           2   -0.482004   -0.491083  0.00641999
           3   -0.486453    -0.48954  0.00446167
           4   -0.486277   -0.488724     0.00342
           5   -0.480757   -0.487131  0.00308496
           6   -0.497454   -0.488851  0.00301262
           7   -0.538118   -0.495889  0.00700907
           8   -0.573398   -0.505578    0.010943
           9   -0.546513   -0.510126   0.0106304
          10    -0.54023   -0.513137   0.0099845
          11   -0.555728   -0.517009  0.00979885
          12    -0.53182   -0.518243  0.00905968
          13   -0.526599   -0.518886  0.00838555
          14   -0.521281   -0.519057  0.00778832
          15   -0.496806   -0.517573  0.00740903
          16   -0.483959   -0.515472  0.00723771
          17   -0.492513   -0.514122  0.00693683
          18   -0.505073   -0.513619  0.00656964
          19   -0.524368   -0.514185  0.00624818
          20   -0.582512   -0.517601  0.00680598
          21     -0.6038   -0.521706  0.00761979
          22   -0.597897   -0.525169  0.00802194
          23   -0.592686   -0.528105  0.00819268
          24   -0.573701   -0.530005   0.0080686
          25    -0.57603   -0.531846  0.00795311
          26   -0.574418   -0.533483  0.00781396
          27   -0.605353   -0.536145  0.00796505
          28   -0.638898   -0.539815  0.00848395
          29   -0.680789   -0.544676  0.00948237
          30   -0.657321   -0.548431  0.00988179
          31   -0.621637   -0.550792  0.00984114
          32   -0.627451   -0.553188  0.00982085
          33   -0.661514    -0.55647   0.0100569
          34   -0.727484     -0.5615   0.0109469
          35    -0.74241   -0.566669   0.0117914
          36   -0.843157   -0.574349   0.0137393
          37   -0.932743   -0.584036   0.0164314
          38    -0.98778    -0.59466   0.0191281
          39   -0.997662   -0.604994   0.0212463
          40   -0.972699   -0.614186   0.0226165
          41   -0.904499   -0.621267   0.0231468
          42   -0.826318   -0.626149   0.0231048
          43     -0.8565   -0.631506   0.0231802
          44   -0.931525   -0.638325    0.023635
          45     -1.0716   -0.647953   0.0249941
          46    -1.21326   -0.660243   0.0273054
          47    -1.36863   -0.675315   0.0306027
          48    -1.51898   -0.692891   0.0346468
          49    -1.64521   -0.712326   0.0390118
          50    -1.41996   -0.726479   0.0407179
