#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.972344   -0.972344           0
           2   -0.972293   -0.972319 1.79434e-05
           3   -0.977012   -0.973883  0.00127749
           4   -0.976535   -0.974546   0.0011169
           5    -0.97275   -0.974187 0.000949521
           6   -0.973235   -0.974028 0.000804421
           7   -0.973342    -0.97393 0.000695452
           8   -0.973036   -0.973818 0.000617428
           9   -0.976213   -0.974085 0.000603423
          10   -0.972359   -0.973912 0.000567202
          11   -0.975743   -0.974078   0.0005395
          12   -0.975306   -0.974181 0.000504146
          13   -0.976421   -0.974353 0.000493931
          14   -0.973716   -0.974308 0.000460739
          15   -0.973467   -0.974252 0.000433414
          16    -0.97929   -0.974566 0.000508019
          17   -0.976427   -0.974676 0.000489786
          18   -0.973894   -0.974632   0.0004645
          19   -0.973587   -0.974577   0.0004433
          20   -0.975156   -0.974606 0.000422076
