#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1        0.42293        0.42293              0
              2       0.419979       0.421454     0.00104341
              3       0.411698       0.418202     0.00274493
              4        0.42207       0.419169     0.00222248
              5       0.419144       0.419164     0.00177799
              6       0.422007       0.419638      0.0015435
              7       0.425414       0.420463     0.00152775
              8       0.421656       0.420612     0.00134405
              9        0.42272       0.420846     0.00121495
             10       0.417661       0.420528     0.00113443
             11       0.422259       0.420685     0.00104216
             12       0.419641       0.420598    0.000958945
             13       0.417799       0.420383     0.00090903
             14       0.421076       0.420432    0.000845445
             15       0.411578       0.419842    0.000973565
             16        0.42187       0.419969    0.000920932
             17       0.425587       0.420299    0.000924149
             18       0.419374       0.420248    0.000874235
             19       0.421517       0.420315     0.00083077
             20       0.424167       0.420507    0.000811256
