#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555263   -0.555263           0
           2   -0.552479   -0.553871  0.00098428
           3    -0.55559   -0.554444 0.000806026
           4   -0.553735   -0.554267 0.000623678
           5   -0.555847   -0.554583 0.000573479
           6   -0.552315   -0.554205 0.000589469
           7   -0.555309   -0.554363 0.000525942
           8   -0.554675   -0.554402 0.000461649
           9   -0.555637   -0.554539 0.000430273
          10   -0.554274   -0.554512 0.000388063
          11    -0.55355   -0.554425  0.00036252
          12   -0.555058   -0.554478 0.000336124
          13   -0.555967   -0.554592 0.000329228
          14   -0.553749   -0.554532 0.000311171
          15   -0.555924   -0.554625 0.000303945
          16   -0.554563   -0.554621 0.000284973
          17   -0.554285   -0.554601 0.000268896
          18   -0.552118   -0.554463 0.000287172
          19   -0.554506   -0.554465 0.000272066
          20   -0.553509   -0.554418 0.000262635
