#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804706   -0.804706           0
           2   -0.804251   -0.804479 0.000161095
           3   -0.805071   -0.804676 0.000193711
           4   -0.804373     -0.8046 0.000159434
           5   -0.805702   -0.804821 0.000234737
           6   -0.804484   -0.804764 0.000202224
           7   -0.804845   -0.804776 0.000173664
           8   -0.803505   -0.804617 0.000212548
           9   -0.804757   -0.804633 0.000189499
          10    -0.80491    -0.80466 0.000172563
          11   -0.803565   -0.804561 0.000183357
          12   -0.803354    -0.80446 0.000193721
          13   -0.803954   -0.804421 0.000182696
          14   -0.804673   -0.804439 0.000170528
          15   -0.803354   -0.804367 0.000173841
          16   -0.804425    -0.80437 0.000163014
          17   -0.804809   -0.804396 0.000155451
          18   -0.804819    -0.80442 0.000148576
          19   -0.806372   -0.804522  0.00017267
          20   -0.804781   -0.804535 0.000164519
