#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504582   -0.504582           0
           2   -0.502863   -0.503722 0.000607761
           3   -0.505547   -0.504331 0.000640955
           4   -0.504651   -0.504411 0.000485704
           5   -0.503484   -0.504225  0.00042243
           6   -0.506053    -0.50453 0.000448581
           7   -0.504688   -0.504553 0.000385063
           8   -0.504919   -0.504598 0.000339644
           9   -0.502717   -0.504389 0.000360519
          10   -0.505964   -0.504547  0.00035719
          11   -0.504321   -0.504526 0.000325309
          12   -0.504003   -0.504483 0.000301104
          13   -0.504902   -0.504515 0.000279669
          14   -0.505388   -0.504577 0.000266561
          15   -0.504479   -0.504571 0.000248871
          16   -0.506592   -0.504697 0.000263426
          17   -0.504126   -0.504663 0.000250066
          18   -0.505167   -0.504691 0.000237733
          19   -0.503498   -0.504629 0.000233378
          20   -0.503603   -0.504577  0.00022727
