#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.612766   -0.612766           0
           2   -0.613902   -0.613334 0.000401541
           3   -0.612141   -0.612936  0.00042088
           4    -0.61324   -0.613012 0.000322452
           5   -0.611515   -0.612713 0.000371828
           6   -0.613356    -0.61282 0.000324915
           7   -0.613342   -0.612895 0.000286927
           8   -0.612473   -0.612842 0.000255862
           9   -0.611326   -0.612673 0.000277404
          10   -0.614345   -0.612841 0.000295745
          11    -0.61264   -0.612822 0.000269421
          12   -0.614338   -0.612949  0.00027498
          13   -0.613502   -0.612991 0.000257105
          14   -0.614175   -0.613076 0.000252267
          15   -0.614159   -0.613148 0.000245576
          16   -0.613566   -0.613174  0.00023161
          17   -0.613678   -0.613204 0.000219878
          18   -0.614399    -0.61327 0.000217453
          19   -0.612807   -0.613246 0.000207371
          20   -0.613981   -0.613282 0.000200234
