#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.371369       0.371369              0
              2       0.363755       0.367562      0.0026919
              3       0.362737       0.365954     0.00222387
              4       0.367398       0.366315     0.00169698
              5       0.369658       0.366983     0.00148345
              6       0.372409       0.367888     0.00148649
              7       0.366828       0.367736     0.00128182
              8       0.368253       0.367801     0.00112321
              9       0.372594       0.368333     0.00111756
             10        0.37223       0.368723     0.00107159
             11       0.373432       0.369151     0.00105622
             12        0.37513       0.369649     0.00107934
             13       0.376116       0.370147       0.001105
             14       0.373062       0.370355     0.00104551
             15       0.371704       0.370445    0.000979666
             16       0.364145       0.370051    0.000994431
             17       0.371163       0.370117    0.000938085
             18       0.368026       0.370001    0.000893132
             19       0.369698       0.369985    0.000846266
             20       0.368044       0.369888    0.000809498
