#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.287426       0.287426              0
              2       0.317738       0.302582      0.0107168
              3       0.257575       0.287579      0.0141807
              4       0.264464       0.281801      0.0117542
              5       0.276835       0.280807     0.00944522
              6       0.299439       0.283913     0.00836592
              7       0.314707       0.288312     0.00824675
              8        0.26918        0.28592     0.00755472
              9       0.255502       0.282541     0.00743298
             10        0.31096       0.285383     0.00721253
             11       0.283312       0.285194      0.0065593
             12       0.289066       0.285517     0.00602063
             13       0.330831       0.289003     0.00648855
             14       0.267143       0.287441     0.00621011
             15       0.276591       0.286718     0.00583808
             16       0.287435       0.286763     0.00547337
             17       0.300518       0.287572     0.00521087
             18       0.298464       0.288177     0.00495639
             19       0.297411       0.288663     0.00471929
             20       0.306456       0.289553     0.00456641
