#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0799524      0.0799524              0
              2      0.0824847      0.0812185    0.000895285
              3      0.0952933      0.0859101     0.00387689
              4      0.0791901      0.0842301     0.00325136
              5      0.0786182      0.0831077     0.00278809
              6      0.0947307      0.0850449     0.00291983
              7      0.0791052      0.0841964     0.00262311
              8      0.0826311      0.0840007      0.0023025
              9      0.0828467      0.0838725     0.00205024
             10      0.0900683      0.0844921     0.00193657
             11      0.0853808      0.0845729      0.0017622
             12      0.0919755      0.0851898     0.00171994
             13      0.0907728      0.0856192     0.00164038
             14      0.0911021      0.0860109     0.00156927
             15      0.0908857      0.0863358     0.00149792
             16       0.082842      0.0861175     0.00142013
             17      0.0958391      0.0866893     0.00144716
             18      0.0832152      0.0864963     0.00137957
             19      0.0954006       0.086965     0.00138428
             20      0.0881976      0.0870266     0.00131643
