#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1         15.367         15.367              0
              2        15.9724        15.6697       0.214028
              3         15.146        15.4951       0.201678
              4        15.0692        15.3887        0.17715
              5        15.3717        15.3853       0.141753
              6        15.4691        15.3992       0.118814
              7        14.2562        15.2359       0.182274
              8        14.5968        15.1561        0.17613
              9        15.0775        15.1473       0.156776
             10         15.137        15.1463       0.141102
             11        15.3609        15.1658       0.129617
             12        15.0917        15.1596       0.118962
             13        14.9039          15.14       0.111426
             14        14.8908        15.1222       0.104879
             15        15.3761        15.1391      0.0992433
             16        15.3478        15.1521      0.0938943
             17        15.0835        15.1481      0.0884579
             18        14.9382        15.1364       0.084309
             19        15.3125        15.1457      0.0803795
             20        14.6436        15.1206       0.080186
