#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1        0.20126        0.20126              0
              2       0.200718       0.200989    0.000191827
              3       0.199155       0.200378    0.000515275
              4       0.194417       0.198888      0.0013471
              5       0.196434       0.198397     0.00116364
              6       0.195218       0.197867      0.0010836
              7       0.196827       0.197719    0.000938929
              8       0.200933        0.19812    0.000903442
              9       0.197374       0.198037    0.000806859
             10       0.195949       0.197828    0.000752726
             11       0.192474       0.197342    0.000826826
             12       0.197267       0.197335    0.000757948
             13       0.197785        0.19737    0.000700432
             14       0.196519       0.197309    0.000653031
             15       0.194752       0.197139    0.000631359
             16       0.198651       0.197233    0.000598934
             17       0.197674       0.197259    0.000564264
             18       0.195218       0.197146    0.000544197
             19       0.193842       0.196972    0.000542631
             20       0.198116       0.197029    0.000518504
