#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.476691       0.476691              0
              2       0.483409        0.48005     0.00237494
              3       0.417022       0.459041       0.017227
              4       0.420654       0.449444      0.0153624
              5       0.420814       0.443718      0.0133144
              6         0.4669       0.447582      0.0116424
              7       0.435524       0.445859      0.0101058
              8       0.425144        0.44327     0.00916833
              9       0.441772       0.443103     0.00815114
             10       0.418046       0.440598     0.00771157
             11       0.515238       0.447383     0.00953962
             12        0.42582       0.445586     0.00891228
             13       0.456202       0.446403     0.00826405
             14       0.421575       0.444629     0.00786174
             15       0.456907       0.445448     0.00738011
             16       0.471465       0.447074     0.00709572
             17       0.449911       0.447241     0.00668029
             18       0.469745       0.448491     0.00642509
             19       0.464731       0.449346     0.00614352
             20       0.426086       0.448183     0.00594541
