#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529461   -0.529461           0
           2    -0.52647   -0.527965  0.00105721
           3   -0.529656   -0.528529 0.000841681
           4   -0.528006   -0.528398 0.000641333
           5   -0.527937   -0.528306  0.00051966
           6   -0.528769   -0.528383 0.000438752
           7   -0.526497   -0.528114 0.000451264
           8   -0.526266   -0.527883 0.000450103
           9   -0.527847   -0.527879 0.000400109
          10    -0.52702   -0.527793 0.000369194
          11   -0.528147   -0.527825 0.000337033
          12   -0.529331   -0.527951 0.000331496
          13   -0.529247    -0.52805 0.000320648
          14   -0.529812   -0.528176 0.000321491
          15   -0.530101   -0.528305  0.00032465
          16    -0.53063    -0.52845 0.000335308
          17   -0.527477   -0.528393  0.00032043
          18   -0.527844   -0.528362 0.000304076
          19   -0.526759   -0.528278 0.000299552
          20   -0.527008   -0.528214 0.000291221
