#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.270302       0.270302              0
              2       0.273486       0.271894     0.00112569
              3       0.268115       0.270634     0.00127315
              4       0.270204       0.270527    0.000959393
              5       0.267902       0.270002    0.000899754
              6       0.271755       0.270294    0.000795841
              7       0.269602       0.270195    0.000688265
              8       0.273371       0.270592    0.000707517
              9       0.273288       0.270892    0.000689416
             10       0.271722       0.270975    0.000625454
             11       0.272002       0.271068    0.000575527
             12       0.267104       0.270738    0.000615101
             13       0.268655       0.270578    0.000588275
             14       0.273153       0.270761    0.000574299
             15       0.267299       0.270531    0.000580543
             16       0.269531       0.270468     0.00054761
             17       0.273184       0.270628      0.0005382
             18       0.275529         0.2709    0.000573043
             19       0.268392       0.270768    0.000557884
             20       0.268167       0.270638     0.00054494
