#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        3.57552        3.57552              0
              2        3.53125        3.55338      0.0156544
              3        3.50683        3.53787      0.0164151
              4        3.56662        3.54506      0.0137962
              5        3.63427         3.5629      0.0194036
              6        3.47781        3.54872      0.0207135
              7        3.59163        3.55485      0.0186397
              8        3.52327         3.5509      0.0167226
              9        3.53659        3.54931        0.01494
             10        3.55587        3.54997      0.0134603
             11        3.54549        3.54956      0.0122428
             12        3.58475        3.55249      0.0115684
             13        3.54021        3.55155      0.0107171
             14        3.62128        3.55653      0.0110486
             15        3.62203        3.56089      0.0111417
             16        3.60676        3.56376      0.0108078
             17        3.56465        3.56381      0.0101722
             18        3.56457        3.56386     0.00960714
             19        3.61752        3.56668     0.00950758
             20        3.57837        3.56726     0.00905016
