#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646156   -0.646156           0
           2   -0.646778   -0.646467 0.000219894
           3   -0.646129   -0.646354  0.00017302
           4    -0.64716   -0.646556 0.000217346
           5   -0.646737   -0.646592 0.000176871
           6   -0.646168   -0.646521 0.000160871
           7   -0.645953    -0.64644 0.000157063
           8   -0.645766   -0.646356 0.000158431
           9   -0.647999   -0.646538  0.00022242
          10   -0.645994   -0.646484 0.000206739
          11    -0.64718   -0.646547 0.000197396
          12   -0.645669   -0.646474 0.000194027
          13   -0.647843   -0.646579 0.000205708
          14   -0.645573   -0.646507 0.000203188
          15   -0.647071   -0.646545 0.000193089
          16   -0.647944   -0.646632 0.000199831
          17   -0.646096   -0.646601 0.000190549
          18   -0.647453   -0.646648 0.000185752
          19   -0.646382   -0.646634 0.000176504
          20   -0.646162   -0.646611 0.000169251
