#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.441891       0.441891              0
              2       0.442836       0.442364    0.000333851
              3       0.432754        0.43916     0.00262481
              4       0.441483       0.439741     0.00203182
              5       0.431878       0.438168      0.0021496
              6       0.434804       0.437608     0.00186304
              7       0.444925       0.438653     0.00186728
              8       0.439759       0.438791     0.00163898
              9       0.436213       0.438505      0.0014817
             10       0.435083       0.438163     0.00137248
             11        0.44174       0.438488     0.00128567
             12       0.440958       0.438694      0.0011949
             13        0.43814       0.438651     0.00110374
             14       0.437563       0.438573     0.00102764
             15       0.435849       0.438392    0.000975047
             16       0.444072       0.438747      0.0009766
             17       0.421463        0.43773     0.00134823
             18       0.438765       0.437788     0.00127455
             19       0.434646       0.437622     0.00121815
             20       0.425772        0.43703     0.00129334
