#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.343026       0.343026              0
              2       0.344747       0.343887    0.000608438
              3       0.304495       0.330756      0.0107288
              4       0.305709       0.324494      0.0097034
              5       0.340406       0.327677     0.00826813
              6       0.341014       0.329899      0.0071827
              7       0.339126       0.331218     0.00627637
              8       0.341013       0.332442        0.00561
              9       0.317193       0.330748     0.00523629
             10       0.339641       0.331637     0.00478759
             11       0.310974       0.329759     0.00470646
             12       0.318864       0.328851     0.00440095
             13       0.308789       0.327307     0.00432453
             14       0.333361        0.32774      0.0040372
             15       0.340966       0.328622     0.00386314
             16       0.284185       0.325844     0.00451085
             17       0.313985       0.325147     0.00429912
             18        0.33606       0.325753     0.00410281
             19       0.328368       0.325891     0.00388918
             20        0.31834       0.325513       0.003713
