#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.026994       0.026994              0
              2       0.027432       0.027213    0.000154856
              3       0.018704      0.0243767     0.00231816
              4       0.029972      0.0257755     0.00211904
              5       0.033628       0.027346     0.00220159
              6       0.034276       0.028501     0.00211605
              7       0.031898      0.0289863     0.00186857
              8       0.025494      0.0285498     0.00168522
              9       0.031916      0.0289238     0.00153892
             10        0.02345      0.0283764     0.00147918
             11        0.02333      0.0279176     0.00141406
             12       0.025136      0.0276858     0.00131509
             13       0.027072      0.0276386     0.00121477
             14       0.029702       0.027786     0.00113691
             15       0.025792      0.0276531     0.00106886
             16       0.027902      0.0276686     0.00100217
             17       0.032346      0.0279438    0.000980258
             18       0.024326      0.0277428     0.00094618
             19       0.034068      0.0280757    0.000953149
             20       0.026288      0.0279863    0.000909673
