#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.431727       0.431727              0
              2       0.432522       0.432125    0.000280992
              3       0.437208       0.433819     0.00139605
              4       0.417126       0.429646     0.00376267
              5       0.431734       0.430064     0.00303323
              6       0.447445       0.432961     0.00365825
              7        0.43531       0.433296       0.003151
              8       0.428319       0.432674     0.00281788
              9       0.423016       0.431601     0.00270139
             10       0.438174       0.432258     0.00250994
             11       0.423259        0.43144     0.00241141
             12       0.439049       0.432074     0.00229231
             13       0.433062        0.43215     0.00211724
             14       0.434304       0.432304     0.00197159
             15       0.415561       0.431188     0.00213283
             16       0.443165       0.431936     0.00212683
             17       0.421901       0.431346     0.00208203
             18       0.435391       0.431571     0.00197845
             19       0.424719        0.43121      0.0019069
             20       0.434417       0.431371     0.00181828
