#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.932338   -0.932338           0
           2   -0.934701    -0.93352 0.000835691
           3   -0.934873   -0.933971 0.000667907
           4   -0.933693   -0.933901 0.000504517
           5   -0.935861   -0.934293 0.000534605
           6   -0.934899   -0.934394 0.000454947
           7   -0.935355   -0.934532  0.00041011
           8   -0.932987   -0.934338  0.00040175
           9   -0.933532   -0.934249 0.000366962
          10    -0.93755   -0.934579  0.00045512
          11    -0.93374   -0.934503 0.000420091
          12   -0.934955    -0.93454 0.000386773
          13   -0.933604   -0.934468 0.000363668
          14   -0.936073   -0.934583 0.000355293
          15   -0.938014   -0.934812 0.000398499
          16    -0.93634   -0.934907 0.000384877
          17    -0.93767    -0.93507 0.000395055
          18   -0.934837   -0.935057 0.000373319
          19   -0.937741   -0.935198 0.000379467
          20   -0.935474   -0.935212 0.000360744
