#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        42.5455        42.5455              0
              2         44.095        43.3203       0.547822
              3        44.4559        43.6988       0.478447
              4        43.3834        43.6199       0.365276
              5        44.7436        43.8447       0.354682
              6        44.1922        43.9026       0.300261
              7         44.463        43.9827       0.267827
              8        42.1636        43.7553       0.316479
              9        42.7186        43.6401       0.301551
             10        46.2294         43.899       0.366056
             11        43.0337        43.8204       0.341126
             12        44.7483        43.8977       0.321344
             13        43.4721         43.865       0.298288
             14        45.5409        43.9847       0.300043
             15        45.6137        44.0933        0.29905
             16        45.5174        44.1823       0.293307
             17        46.2689         44.305       0.300641
             18        43.8685        44.2808       0.284915
             19        45.6954        44.3552       0.279479
             20        45.5141        44.4132       0.271446
