#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        2.53655        2.53655              0
              2        2.50188        2.51922      0.0122556
              3        2.53194        2.52346     0.00887439
              4        2.50338        2.51844     0.00794995
              5        2.58532        2.53182      0.0135495
              6        2.49098        2.52501      0.0128875
              7        2.50469        2.52211      0.0113688
              8        2.51551        2.52128     0.00997753
              9        2.53903        2.52325     0.00906172
             10         2.4865        2.51958     0.00886981
             11        2.56212        2.52345     0.00886665
             12        2.57364        2.52763     0.00906074
             13        2.50932        2.52622     0.00847249
             14        2.51486        2.52541     0.00790609
             15        2.58858        2.52962     0.00842634
             16        2.49314        2.52734     0.00820229
             17         2.5871        2.53086     0.00843955
             18         2.4968        2.52896     0.00818003
             19        2.50832        2.52788     0.00782129
             20        2.56917        2.52994     0.00769789
