#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.447566       0.447566              0
              2       0.452228       0.449897     0.00164837
              3       0.447253       0.449016     0.00131362
              4       0.434922       0.445492     0.00320657
              5        0.44304       0.445002     0.00260249
              6       0.445398       0.445068     0.00216958
              7       0.430977       0.443055      0.0026328
              8       0.445981       0.443421     0.00232897
              9       0.439133       0.442944     0.00211836
             10       0.432815       0.441931     0.00213503
             11       0.434091       0.441219     0.00205646
             12       0.431904       0.440442      0.0020263
             13       0.439372        0.44036     0.00187211
             14       0.446596       0.440805     0.00179058
             15       0.444454       0.441049     0.00168765
             16       0.442773       0.441156     0.00158561
             17       0.441124       0.441154     0.00149234
             18       0.430674       0.440572     0.00151876
             19       0.445909       0.440853     0.00146457
             20       0.429278       0.440274     0.00150134
