#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721259   -0.721259           0
           2   -0.721474   -0.721366 7.61716e-05
           3   -0.720504   -0.721079 0.000240208
           4   -0.719354   -0.720648 0.000414706
           5   -0.720918   -0.720702 0.000335266
           6   -0.721305   -0.720802 0.000294062
           7   -0.721013   -0.720832 0.000253588
           8   -0.720848   -0.720834 0.000221897
           9   -0.721171   -0.720872 0.000200364
          10   -0.719515   -0.720736 0.000221552
          11    -0.72197   -0.720848 0.000228036
          12   -0.719625   -0.720746 0.000230685
          13   -0.720244   -0.720708 0.000216146
          14   -0.721089   -0.720735 0.000202418
          15   -0.720039   -0.720688 0.000194166
          16   -0.720436   -0.720673  0.00018267
          17   -0.720558   -0.720666 0.000172049
          18   -0.720083   -0.720634 0.000165509
          19   -0.719264   -0.720561 0.000171783
          20   -0.720287   -0.720548 0.000163742
