#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.97917     1.97917           0
           2     2.15865     2.06891   0.0634537
           3     2.16055     2.09946   0.0491078
           4     2.15191     2.11257   0.0385422
           5     2.03934     2.09792   0.0335015
           6     1.93501     2.07077    0.037333
           7     1.87978     2.04349   0.0407689
           8     1.80809     2.01406   0.0450567
           9     1.75353     1.98512   0.0484657
          10     1.71106     1.95771   0.0507799
          11     1.67869     1.93234   0.0521151
          12     1.65908     1.90957   0.0525121
          13     1.65905      1.8903   0.0518885
          14     1.64836     1.87302   0.0509789
          15     1.62285     1.85634   0.0502345
          16     1.61306     1.84114   0.0493423
          17     1.62062     1.82817   0.0481147
          18      1.6244     1.81684   0.0467543
          19     1.62579     1.80679    0.045362
          20     1.64297      1.7986   0.0438272
          21     1.62949     1.79055   0.0424736
          22     1.58127     1.78103   0.0415945
          23     1.56976     1.77185   0.0407878
          24       1.565     1.76323   0.0399885
          25     1.54056     1.75432   0.0393684
          26     1.54868     1.74641   0.0386406
          27     1.56153     1.73957   0.0378113
          28     1.55547     1.73299   0.0370281
          29     1.55039     1.72669   0.0362827
          30     1.53729     1.72038   0.0356183
          31     1.52388     1.71404   0.0350288
          32     1.50309     1.70745   0.0345489
          33     1.46073     1.69997   0.0343013
          34     1.42384     1.69185   0.0342404
          35     1.42803     1.68431   0.0340817
          36     1.43352     1.67735   0.0338395
          37      1.4607     1.67149   0.0334277
          38     1.45223     1.66572   0.0330423
          39     1.44982     1.66019   0.0326555
          40     1.42458      1.6543    0.032366
          41     1.40925     1.64832   0.0321236
          42     1.39277     1.64223   0.0319298
          43     1.36376     1.63576   0.0318373
          44     1.35017     1.62927   0.0317684
          45     1.35758     1.62323    0.031631
          46     1.34411     1.61716     0.03152
          47     1.35174     1.61151   0.0313512
          48     1.35333     1.60614    0.031156
          49     1.36088     1.60113   0.0309196
          50     1.36904     1.59649   0.0306477
