#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.136294       0.136294              0
              2       0.143036       0.139665     0.00238356
              3       0.143811       0.141047      0.0019489
              4       0.143056       0.141549     0.00152502
              5       0.144357       0.142111      0.0013194
              6       0.150535       0.143515     0.00168866
              7       0.149637       0.144389     0.00165853
              8       0.152686       0.145427      0.0017456
              9       0.143377       0.145199     0.00156642
             10       0.138813        0.14456     0.00153445
             11       0.141427       0.144275     0.00142114
             12       0.142365       0.144116      0.0013116
             13       0.130953       0.143104     0.00155314
             14       0.148883       0.143516     0.00149606
             15       0.148373        0.14384     0.00143094
             16       0.144047       0.143853     0.00134156
             17       0.141649       0.143724     0.00126889
             18       0.142505       0.143656      0.0012002
             19       0.140205       0.143474     0.00115069
             20       0.147815       0.143691     0.00111344
