#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.580936       0.580936              0
              2       0.659259       0.620097      0.0276912
              3       0.694433       0.644876      0.0273884
              4       0.664663       0.649823      0.0209833
              5       0.624724       0.644803      0.0173766
              6       0.706541       0.655093      0.0172603
              7        0.65824       0.655542      0.0148004
              8       0.661576       0.656297      0.0129695
              9       0.687839       0.659801      0.0119926
             10       0.721345       0.665956      0.0122713
             11       0.643133       0.663881      0.0113298
             12       0.710192        0.66774      0.0110234
             13       0.684893        0.66906      0.0102541
             14       0.719369       0.672653      0.0101318
             15       0.716191       0.675556     0.00986331
             16       0.678113       0.675715     0.00924815
             17       0.629943       0.673023     0.00908764
             18       0.667878       0.672737     0.00858727
             19       0.690144       0.673653     0.00818403
             20       0.690591         0.6745     0.00781853
