#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0309309      0.0309309              0
              2      0.0325582      0.0317445    0.000575328
              3      0.0254236      0.0296376     0.00176257
              4      0.0311309      0.0300109     0.00136089
              5      0.0372273      0.0314542     0.00168871
              6      0.0308364      0.0313512     0.00141039
              7      0.0258691      0.0305681     0.00140967
              8      0.0325218      0.0308123     0.00125444
              9      0.0196073      0.0295673       0.001619
             10      0.0267473      0.0292853     0.00148145
             11      0.0271145      0.0290879     0.00135986
             12      0.0237564      0.0286436     0.00131712
             13      0.0303691      0.0287764     0.00122247
             14      0.0336582      0.0291251     0.00118384
             15      0.0283182      0.0290713     0.00110614
             16      0.0313527      0.0292139     0.00104615
             17      0.0326073      0.0294135     0.00100348
             18      0.0298073      0.0294354    0.000947969
             19      0.0337473      0.0296623    0.000924842
             20      0.0358709      0.0299727     0.00092924
