#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.108313       0.108313              0
              2       0.118587        0.11345     0.00363225
              3       0.113809        0.11357     0.00242347
              4       0.108612        0.11233     0.00211089
              5       0.111988       0.112262     0.00168982
              6       0.121643       0.113825     0.00200504
              7       0.107863       0.112974     0.00189089
              8       0.110335       0.112644     0.00168304
              9       0.106741       0.111988      0.0016188
             10       0.106201       0.111409     0.00155691
             11       0.115732       0.111802     0.00146413
             12       0.116659       0.112207     0.00139694
             13       0.115278       0.112443      0.0013093
             14       0.102689       0.111746     0.00138884
             15        0.11468       0.111942     0.00130995
             16       0.107379       0.111657     0.00125874
             17       0.118456       0.112057     0.00124662
             18       0.112571       0.112085     0.00117769
             19       0.101124       0.111508     0.00124905
             20      0.0973417         0.1108     0.00137283
