#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        2.94935        2.94935              0
              2        2.97433        2.96184     0.00883424
              3        2.85706        2.92691      0.0291182
              4        2.97153        2.93807      0.0238794
              5        2.92341        2.93514      0.0192826
              6        2.93856        2.93571      0.0160773
              7        2.95238        2.93809      0.0139558
              8         2.8885        2.93189       0.013518
              9        2.87665        2.92575      0.0133368
             10        2.95989        2.92917      0.0124324
             11        2.91793        2.92814      0.0113441
             12        2.94608        2.92964      0.0104967
             13        3.00696        2.93559      0.0112489
             14        3.05067        2.94381      0.0131094
             15        2.98828        2.94677      0.0125662
             16        3.00845        2.95063      0.0123579
             17        2.95567        2.95092      0.0116346
             18        2.96425        2.95166      0.0110117
             19        3.00527        2.95449      0.0107876
             20        2.98175        2.95585       0.010334
