#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462648   -0.462648           0
           2   -0.459868   -0.461258 0.000982878
           3   -0.461468   -0.461328  0.00065774
           4   -0.462204   -0.461547 0.000528508
           5     -0.4633   -0.461898 0.000526404
           6    -0.46178   -0.461878 0.000439035
           7   -0.463868   -0.462162 0.000459224
           8   -0.464092   -0.462404 0.000460838
           9   -0.462688   -0.462435 0.000410716
          10   -0.460528   -0.462244 0.000411547
          11   -0.463016   -0.462315 0.000380064
          12   -0.462424   -0.462324 0.000348502
          13    -0.46206   -0.462303 0.000322284
          14   -0.463256   -0.462371 0.000306362
          15   -0.461444    -0.46231  0.00029211
          16   -0.462572   -0.462326 0.000274313
          17   -0.462736    -0.46235 0.000259235
          18   -0.464044   -0.462444 0.000261356
          19   -0.461796    -0.46241 0.000249818
          20   -0.461924   -0.462386 0.000238506
