#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.67928        1.67928              0
              2        1.66443        1.67186     0.00524973
              3        1.74211        1.69528      0.0194395
              4        1.71623        1.70051      0.0152693
              5        1.64606        1.68962      0.0156238
              6        1.65944        1.68459      0.0138062
              7        1.68284        1.68434      0.0118361
              8        1.63892        1.67866      0.0116391
              9        1.69131        1.68007      0.0104303
             10        1.70522        1.68258     0.00968583
             11        1.65272        1.67987     0.00917791
             12        1.71656        1.68293      0.0089079
             13        1.65418        1.68072     0.00849264
             14        1.67566        1.68035      0.0078937
             15        1.66044        1.67903     0.00747832
             16        1.71645        1.68137     0.00736758
             17         1.7336        1.68444     0.00754767
             18        1.69942        1.68527      0.0071741
             19        1.69545        1.68581     0.00681648
             20        1.65719        1.68438     0.00662412
