#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.434919       0.434919              0
              2       0.420565       0.427742     0.00507493
              3       0.430896       0.428793     0.00349051
              4       0.422609       0.427247     0.00294041
              5       0.426444       0.427087      0.0023567
              6       0.423215       0.426441     0.00205036
              7        0.42149       0.425734     0.00187549
              8       0.421682       0.425227     0.00170808
              9       0.412556        0.42382     0.00201673
             10       0.425924        0.42403       0.001826
             11        0.41101       0.422846     0.00200732
             12        0.42145        0.42273     0.00184341
             13       0.431129       0.423376      0.0018113
             14       0.433803       0.424121     0.00182865
             15       0.424109        0.42412     0.00170674
             16        0.41832       0.423758     0.00163811
             17        0.42962       0.424102     0.00157764
             18       0.410164       0.423328     0.00166924
             19       0.425101       0.423421     0.00158399
             20       0.433562       0.423928     0.00158386
