#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0581062      0.0581062              0
              2      0.0526759       0.055391     0.00191989
              3      0.0655336      0.0587719     0.00304274
              4      0.0546211      0.0577342     0.00245263
              5      0.0600841      0.0582042     0.00200663
              6      0.0608789        0.05865       0.001721
              7      0.0615529      0.0590647     0.00152429
              8      0.0561068      0.0586949     0.00137786
              9      0.0567289      0.0584765     0.00124196
             10      0.0545003      0.0580789      0.0011797
             11      0.0597149      0.0582276     0.00108179
             12      0.0588987      0.0582835    0.000993085
             13      0.0528125      0.0578627     0.00100191
             14      0.0682498      0.0586046     0.00117332
             15       0.054839      0.0583536     0.00112164
             16      0.0594722      0.0584235     0.00105371
             17      0.0473664      0.0577731     0.00117545
             18      0.0552781      0.0576345     0.00111829
             19      0.0559296      0.0575447     0.00106303
             20       0.053806      0.0573578     0.00102618
