#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848671   -0.848671           0
           2   -0.851728   -0.850199  0.00108103
           3   -0.847534   -0.849311  0.00102262
           4   -0.848933   -0.849216 0.000771311
           5   -0.847864   -0.848946 0.000662793
           6   -0.849609   -0.849056 0.000561456
           7   -0.847132   -0.848782 0.000544392
           8   -0.847042   -0.848564  0.00051796
           9   -0.848388   -0.848544  0.00046078
          10   -0.847738   -0.848464 0.000421706
          11   -0.847053   -0.848336 0.000402392
          12   -0.849572   -0.848439 0.000381818
          13    -0.84852   -0.848445 0.000352499
          14   -0.845984   -0.848269 0.000368552
          15   -0.847664   -0.848229 0.000346184
          16   -0.848936   -0.848273 0.000327356
          17   -0.848003   -0.848257 0.000308485
          18   -0.848508   -0.848271 0.000291661
          19   -0.848042   -0.848259 0.000276558
          20   -0.847861   -0.848239 0.000263444
