#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        4.35183        4.35183              0
              2        4.43035        4.39109      0.0277602
              3        4.34492         4.3757      0.0223694
              4         4.5083        4.40885      0.0332515
              5         4.4537        4.41782      0.0277845
              6         4.5047         4.4323      0.0266613
              7        4.46631        4.43716      0.0232911
              8        4.51357        4.44671       0.022252
              9        4.31042        4.43157      0.0243939
             10        4.41809        4.43022      0.0219917
             11        4.48665        4.43535      0.0205821
             12        4.43393        4.43523      0.0188672
             13         4.4562        4.43684      0.0174847
             14        4.38871        4.43341      0.0165704
             15        4.50428        4.43813      0.0161253
             16        4.38743        4.43496      0.0154257
             17         4.2344        4.42316      0.0184872
             18        4.36852        4.42013      0.0177076
             19        4.24349        4.41083      0.0190606
             20        4.49185        4.41488       0.018533
