#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        7.40234        7.40234              0
              2        7.64264        7.52249      0.0849586
              3        7.32108        7.45535      0.0788214
              4        7.52323        7.47232      0.0609153
              5         7.3279        7.44344      0.0551566
              6        7.61892        7.47268      0.0531556
              7        7.37467        7.45868      0.0473702
              8        7.52149        7.46653      0.0420946
              9        7.33133        7.45151      0.0400083
             10        7.40023        7.44638      0.0363346
             11        7.53039        7.45402      0.0338246
             12        7.46478        7.45492      0.0310177
             13        7.54139        7.46157      0.0293364
             14        7.19102        7.44224      0.0329975
             15        7.31237        7.43359      0.0319134
             16         7.3523        7.42851      0.0303205
             17         7.4255        7.42833      0.0285375
             18        7.21959        7.41673      0.0292134
             19        7.29106        7.41012      0.0284147
             20         7.5905        7.41914      0.0283893
