#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        5.72675        5.72675              0
              2        5.48718        5.60697       0.084701
              3        5.57571        5.59655      0.0571047
              4        5.65586        5.61137      0.0447123
              5        5.55167        5.59943      0.0373301
              6        5.63702         5.6057      0.0316297
              7        5.49252        5.58953      0.0309692
              8        5.69685        5.60294      0.0298625
              9        5.54336        5.59632      0.0272684
             10        5.54329        5.59102      0.0250519
             11        5.66474        5.59772      0.0236538
             12         5.6311         5.6005      0.0218455
             13        5.58989        5.59969      0.0201804
             14        5.62534        5.60152      0.0188219
             15        5.60245        5.60158      0.0175672
             16        5.55124        5.59844      0.0167487
             17        5.46263        5.59045      0.0175657
             18        5.45859        5.58312      0.0180528
             19        5.70726        5.58965      0.0182467
             20         5.5991        5.59013      0.0173405
