#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        10.5074        10.5074              0
              2        10.1331        10.3203       0.132348
              3        10.5495        10.3967       0.108059
              4        10.3576        10.3869      0.0814843
              5        10.3547        10.3805      0.0654417
              6        9.92565        10.3047      0.0881044
              7        10.8684        10.3852       0.106126
              8         9.8847        10.3226       0.109763
              9        10.1578        10.3043      0.0990828
             10        10.3671        10.3106      0.0893729
             11          10.07        10.2887      0.0838821
             12        10.1312        10.2756      0.0779118
             13        10.2737        10.2755      0.0719188
             14        10.1638        10.2675      0.0672227
             15        10.1019        10.2564      0.0636408
             16        10.2507        10.2561      0.0596643
             17        10.2283        10.2545       0.056177
             18        10.3781        10.2613      0.0534741
             19        10.3288        10.2649      0.0507773
             20        10.3172        10.2675       0.048306
