#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.344237       0.344237              0
              2       0.343824        0.34403     0.00014598
              3        0.34379        0.34395     0.00011729
              4       0.342636       0.343622    0.000297711
              5       0.349048       0.344707    0.000999549
              6       0.344154       0.344615    0.000837189
              7       0.342726       0.344345    0.000759849
              8       0.342965       0.344173    0.000684159
              9       0.338878       0.343584    0.000823047
             10       0.345665       0.343792    0.000766592
             11       0.347136       0.344096    0.000754771
             12        0.34841       0.344456    0.000772753
             13        0.35034       0.344908      0.0008354
             14       0.342671       0.344749    0.000790874
             15       0.347901       0.344959    0.000765566
             16       0.348835       0.345201    0.000755079
             17       0.342606       0.345048    0.000725924
             18       0.345794        0.34509    0.000686775
             19       0.349079         0.3453    0.000681972
             20       0.345216       0.345296    0.000647886
