#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        77.5937        77.5937              0
              2        77.0281        77.3109        0.19996
              3        81.8247        78.8155        1.23572
              4        81.3456         79.448        1.07657
              5        77.6673        79.0919       0.918278
              6        78.6254        79.0141       0.768516
              7        78.4758        78.9372       0.662565
              8        77.4874         78.756       0.604022
              9        81.0913        79.0155       0.590014
             10        77.4651        78.8604       0.551006
             11        80.3979        79.0002       0.518339
             12        80.4817        79.1237       0.489627
             13        81.5281        79.3086       0.485642
             14        78.7171        79.2664       0.452788
             15          78.13        79.1906       0.428892
             16        84.1041        79.4977       0.500087
             17        81.1665        79.5959       0.480208
             18         79.012        79.5634       0.454624
             19        78.3011         79.497       0.435524
             20          80.23        79.5336       0.415288
