#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0453712      0.0453712              0
              2      0.0437197      0.0445455    0.000583903
              3      0.0521358      0.0470756     0.00210218
              4      0.0353227      0.0441374     0.00299342
              5      0.0500512      0.0453201       0.002618
              6      0.0350277      0.0436047     0.00268549
              7      0.0416433      0.0433245     0.00231642
              8      0.0388498      0.0427652     0.00209331
              9      0.0417909      0.0426569     0.00186352
             10      0.0380329      0.0421945     0.00173359
             11       0.042452      0.0422179     0.00157615
             12      0.0432703      0.0423056     0.00144724
             13       0.045292      0.0425353     0.00135402
             14      0.0412308      0.0424422     0.00126051
             15       0.041907      0.0424065     0.00117698
             16       0.047953      0.0427531     0.00115334
             17      0.0444205      0.0428512     0.00108966
             18      0.0467454      0.0430676     0.00105038
             19      0.0481893      0.0433371      0.0010291
             20      0.0418496      0.0432628    0.000980334
