#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.048955       0.048955              0
              2      0.0458392      0.0473971      0.0011016
              3      0.0543893      0.0497278     0.00203984
              4      0.0516436      0.0502068     0.00158511
              5      0.0472549      0.0496164     0.00137364
              6      0.0536355      0.0502862     0.00129779
              7      0.0507346      0.0503503     0.00111397
              8      0.0526097      0.0506327     0.00100989
              9      0.0451624      0.0500249       0.001065
             10      0.0510562       0.050128    0.000963479
             11      0.0524446      0.0503386    0.000898611
             12      0.0520882      0.0504844    0.000835471
             13      0.0453884      0.0500924    0.000858254
             14      0.0560546      0.0505183    0.000896406
             15      0.0549668      0.0508149    0.000884343
             16      0.0648867      0.0516943     0.00118849
             17      0.0545595      0.0518629     0.00113047
             18      0.0453611      0.0515017     0.00112389
             19      0.0505607      0.0514521     0.00106583
             20      0.0511344      0.0514363     0.00101266
