#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.396519       0.396519              0
              2       0.394229       0.395374    0.000809626
              3       0.399176       0.396642     0.00116711
              4       0.396635        0.39664    0.000875331
              5       0.394632       0.396238    0.000787012
              6       0.395774       0.396161    0.000659635
              7       0.396868       0.396262    0.000573074
              8        0.40813       0.397746     0.00147551
              9       0.397639       0.397734     0.00131161
             10       0.402789       0.398239     0.00127415
             11       0.392712       0.397737     0.00125348
             12       0.398463       0.397797     0.00115049
             13       0.402033       0.398123     0.00110717
             14       0.394898       0.397893     0.00105178
             15       0.390068       0.397371     0.00110346
             16       0.398674       0.397453     0.00103749
             17       0.399668       0.397583    0.000984611
             18       0.388038       0.397053     0.00106316
             19       0.405255       0.397484     0.00109133
             20       0.399576       0.397589     0.00104177
