#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.37068        1.37068              0
              2         1.3433        1.35699     0.00967958
              3        1.34346        1.35248     0.00742967
              4        1.36267        1.35503     0.00599316
              5        1.35523        1.35507     0.00479466
              6        1.31325         1.3481     0.00751307
              7        1.35395        1.34893     0.00648604
              8         1.3893        1.35398     0.00738144
              9        1.35998        1.35465     0.00659132
             10        1.32164        1.35135     0.00670771
             11        1.38833        1.35471     0.00688928
             12        1.37779        1.35663     0.00657811
             13        1.35849        1.35677     0.00607366
             14        1.37378        1.35799     0.00575994
             15        1.34877        1.35737     0.00540861
             16        1.35903        1.35748     0.00507157
             17        1.37179        1.35832     0.00484257
             18        1.37348        1.35916     0.00464616
             19        1.34012        1.35816     0.00450844
             20        1.38667        1.35959     0.00450275
