#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.231965       0.231965              0
              2       0.229436         0.2307    0.000894052
              3       0.229365       0.230255    0.000698083
              4       0.227341       0.229527     0.00081989
              5       0.228542        0.22933    0.000679129
              6       0.229191       0.229307    0.000566336
              7       0.228529       0.229196    0.000496194
              8       0.229373       0.229218    0.000434663
              9       0.229424       0.229241     0.00038697
             10       0.232372       0.229554    0.000457781
             11       0.230072       0.229601    0.000418583
             12       0.228235       0.229487    0.000398865
             13       0.227149       0.229307    0.000406724
             14        0.22869       0.229263    0.000380056
             15       0.226402       0.229072    0.000399729
             16       0.227235       0.228958    0.000390897
             17       0.232046       0.229139     0.00040795
             18       0.230781        0.22923    0.000395348
             19       0.226549       0.229089    0.000398929
             20       0.230137       0.229142    0.000382409
