#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.190743       0.190743              0
              2       0.203274       0.197009     0.00443035
              3       0.202506       0.198841     0.00331089
              4       0.207916        0.20111     0.00316648
              5       0.198228       0.200534     0.00258512
              6       0.199576       0.200374     0.00215919
              7       0.203728       0.200853     0.00190315
              8       0.187178       0.199144     0.00230863
              9       0.207822       0.200108     0.00224446
             10       0.198097       0.199907       0.002029
             11       0.213513       0.201144     0.00218935
             12       0.197415       0.200833     0.00202884
             13       0.193221       0.200247     0.00195545
             14       0.208122        0.20081     0.00189494
             15       0.190368       0.200114     0.00189217
             16       0.192086       0.199612     0.00183923
             17       0.185206       0.198765     0.00191633
             18       0.208196       0.199289     0.00188014
             19       0.217269       0.200235     0.00200525
             20       0.209706       0.200708     0.00196011
