#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.52439        1.52439              0
              2        1.45667        1.49053      0.0239428
              3         1.5198        1.50029      0.0178397
              4        1.53182        1.50817      0.0150209
              5        1.49528        1.50559      0.0122361
              6        1.49455        1.50375      0.0103342
              7        1.51197        1.50493     0.00892435
              8        1.53128        1.50822     0.00839476
              9        1.50248        1.50758     0.00748624
             10         1.4991        1.50673     0.00678553
             11        1.53986        1.50975      0.0068043
             12        1.55363         1.5134     0.00715289
             13         1.5182        1.51377     0.00661216
             14        1.48814        1.51194     0.00638833
             15        1.49683        1.51093     0.00604133
             16        1.48131        1.50908     0.00594061
             17        1.52273        1.50989     0.00564513
             18        1.49574         1.5091     0.00538593
             19        1.48302        1.50773     0.00527444
             20        1.50815        1.50775     0.00501076
